freq,epsilon_r       ,epsilon_i       
96000000000,1.986,-0.00181
96028571429,1.986,-0.0018
96057142857,1.986,-0.00179
96085714286,1.986,-0.00178
96114285714,1.986,-0.00177
96142857143,1.986,-0.00177
96171428571,1.986,-0.00176
96200000000,1.986,-0.00175
96228571429,1.986,-0.00175
96257142857,1.986,-0.00174
96285714286,1.986,-0.00174
96314285714,1.986,-0.00173
96342857143,1.986,-0.00173
96371428571,1.986,-0.00172
96400000000,1.986,-0.00172
96428571429,1.986,-0.00172
96457142857,1.986,-0.00172
96485714286,1.986,-0.00199
96514285714,1.986,-0.00199
96542857143,1.986,-0.002
